full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
leaked-claude-code/leaked-claude-code,828,828,1017,22,22,20,https://github.com/leaked-claude-code/leaked-claude-code
huangserva/claude-code-cli,518,518,1241,4,4,10,https://github.com/huangserva/claude-code-cli
qwibitai/nanoclaw,26692,26692,10952,102,102,165,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3378,3378,447,4,4,1,https://github.com/1rgs/claude-code-proxy
lintsinghua/claude-code-book,2181,2181,540,87,87,10,https://github.com/lintsinghua/claude-code-book
777genius/claude-code-source-code,884,884,1128,10,10,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3479,3479,593,5,5,0,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,111605,111605,12643,586,586,91,https://github.com/anthropics/skills
zebbern/claude-code-guide,3862,3862,365,9,9,4,https://github.com/zebbern/claude-code-guide
alex000kim/claude-code,195,195,305,3,3,4,https://github.com/alex000kim/claude-code
sickn33/antigravity-awesome-skills,31109,31109,5195,238,238,37,https://github.com/sickn33/antigravity-awesome-skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7380,7380,364,22,22,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
VineeTagarwaL-code/claude-code,258,258,261,0,0,1,https://github.com/VineeTagarwaL-code/claude-code
Yuyz0112/claude-code-reverse,2336,2336,401,1,1,1,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5281,5281,198,0,0,0,https://github.com/kodu-ai/claude-coder
zstmfhy/Claude-code,188,188,284,1,1,2,https://github.com/zstmfhy/Claude-code
xorespesp/claude-code,204,204,279,7,7,3,https://github.com/xorespesp/claude-code
lorryjovens-hub/claude-code-rust,1156,1156,464,56,56,26,https://github.com/lorryjovens-hub/claude-code-rust
fuergaosi233/claude-code-proxy,2347,2347,329,5,5,-1,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2367,2367,320,14,14,4,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2983,2983,422,43,43,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
anthropics/claude-code-security-review,4138,4138,363,10,10,3,https://github.com/anthropics/claude-code-security-review
freestylefly/claude-code,119,119,273,2,2,1,https://github.com/freestylefly/claude-code
Cranot/claude-code-guide,2574,2574,285,3,3,1,https://github.com/Cranot/claude-code-guide
chiragjoshi12/claude-code,177,177,213,8,8,3,https://github.com/chiragjoshi12/claude-code
AprilNEA/claude-code-source,360,360,608,4,4,1,https://github.com/AprilNEA/claude-code-source
Alishahryar1/free-claude-code,1705,1705,303,57,57,21,https://github.com/Alishahryar1/free-claude-code
anthropics/claude-code-base-action,785,785,598,2,2,0,https://github.com/anthropics/claude-code-base-action
Kuberwastaken/claurst,8510,8510,7628,234,234,72,https://github.com/Kuberwastaken/claurst
Windy3f3f3f3f/how-claude-code-works,1533,1533,457,44,44,11,https://github.com/Windy3f3f3f3f/how-claude-code-works
ding113/claude-code-hub,2300,2300,261,7,7,0,https://github.com/ding113/claude-code-hub
mehmoodosman/claude-code,153,153,208,11,11,1,https://github.com/mehmoodosman/claude-code
fazxes/Claude-code,192,192,197,3,3,0,https://github.com/fazxes/Claude-code
eyaltoledano/claude-task-master,26425,26425,2477,15,15,6,https://github.com/eyaltoledano/claude-task-master
wanshuiyin/Auto-claude-code-research-in-sleep,5633,5633,493,78,78,14,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
snarktank/ralph,14510,14510,1482,63,63,9,https://github.com/snarktank/ralph
router-for-me/CLIProxyAPI,23556,23556,3935,250,250,40,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,479,479,649,1,1,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1384,1384,282,2,2,0,https://github.com/edmund-io/edmunds-claude-code
obra/superpowers,137430,137430,11607,1252,1252,164,https://github.com/obra/superpowers
wshobson/agents,33076,33076,3605,65,65,6,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3624,3624,256,3,3,1,https://github.com/Pimzino/claude-code-spec-workflow
guanshan/ClaudeCode,52,52,205,0,0,0,https://github.com/guanshan/ClaudeCode
repowise-dev/claude-code-prompts,808,808,322,34,34,9,https://github.com/repowise-dev/claude-code-prompts
bfly123/claude_code_bridge,2106,2106,197,17,17,0,https://github.com/bfly123/claude_code_bridge
luyao618/Claude-Code-Source-Study,960,960,415,41,41,8,https://github.com/luyao618/Claude-Code-Source-Study
isboyjc/claude-code,128,128,179,1,1,0,https://github.com/isboyjc/claude-code
garrytan/gstack,65462,65462,8956,832,832,145,https://github.com/garrytan/gstack
Yeachan-Heo/oh-my-claudecode,25031,25031,2300,547,547,61,https://github.com/Yeachan-Heo/oh-my-claudecode
lowcortisolprogrammer/claude-code,169,169,160,1,1,0,https://github.com/lowcortisolprogrammer/claude-code
ghuntley/claude-code-source-code-deobfuscation,964,964,553,0,0,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
anthropics/claude-plugins-official,16151,16151,1816,96,96,20,https://github.com/anthropics/claude-plugins-official
andrew-kramer-inno/claude-code-source-build,549,549,490,4,4,-1,https://github.com/andrew-kramer-inno/claude-code-source-build
carlvellotti/claude-code-pm-course,1763,1763,273,9,9,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1417,1417,210,4,4,0,https://github.com/feiskyer/claude-code-settings
luongnv89/claude-howto,21329,21329,2529,946,946,96,https://github.com/luongnv89/claude-howto
AICoderTudou/claude-code-tudou,426,426,355,22,22,17,https://github.com/AICoderTudou/claude-code-tudou
alirezarezvani/claude-skills,9763,9763,1199,189,189,17,https://github.com/alirezarezvani/claude-skills
JrCx7scC/claude-code-source,275,275,409,0,0,0,https://github.com/JrCx7scC/claude-code-source
sugyan/claude-code-webui,999,999,232,2,2,0,https://github.com/sugyan/claude-code-webui
rohitg00/awesome-claude-code-toolkit,1109,1109,311,14,14,12,https://github.com/rohitg00/awesome-claude-code-toolkit
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3004,3004,569,36,36,7,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
siteboon/claudecodeui,9534,9534,1255,35,35,3,https://github.com/siteboon/claudecodeui
centminmod/my-claude-code-setup,2162,2162,217,2,2,1,https://github.com/centminmod/my-claude-code-setup
Hyper66666/claude-code-sourcemap,199,199,451,1,1,3,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,647,647,58,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
lst97/claude-code-sub-agents,1519,1519,240,2,2,0,https://github.com/lst97/claude-code-sub-agents
